scenario,modality,q_quality,dim,forward_kl_mean_reward,best_wasserstein_reward,best_partial_reward,best_unbalanced_reward,best_l2_reward,best_ot_minus_kl,best_pot_minus_kl,best_l2_minus_kl,all_ot_beat_kl
baseline,low,clean,2,-0.10436764856179555,-0.16438153386116028,-0.195235475897789,-0.16439939538637796,-0.16430571675300598,-0.06001388529936473,-0.09086782733599345,-0.059938068191210433,0
baseline,low,clean,4,-0.19335384170214334,-0.331535001595815,-0.3738718231519063,-0.32781825462977093,-0.33029382427533466,-0.1344644129276276,-0.18051798144976297,-0.13693998257319132,0
baseline,low,clean,8,-0.3713521460692088,-0.6591456731160482,-0.7180725336074829,-0.6561373273531595,-0.658337394396464,-0.28478518128395075,-0.3467203875382741,-0.2869852483272552,0
baseline,low,mid,2,-0.1845585803190867,-0.1656956970691681,-0.197475994626681,-0.16357714434464773,-0.164063091079394,0.020981435974438967,-0.0129174143075943,0.020495489239692688,0
baseline,low,mid,4,-0.3245701193809509,-0.3306668698787689,-0.3741100033124288,-0.3298106590906779,-0.33019954959551495,-0.005240539709726988,-0.049539883931477846,-0.005629430214564024,0
baseline,low,mid,8,-0.4996154109636943,-0.6604356567064921,-0.7192556858062744,-0.6565836866696676,-0.6589007576306661,-0.15696827570597333,-0.21964027484258014,-0.15928534666697186,0
baseline,low,noisy,2,-0.3501809736092885,-0.1661825180053711,-0.19511958956718445,-0.16444700956344604,-0.1643504003683726,0.18573396404584247,0.15506138404210407,0.18583057324091592,1
baseline,low,noisy,4,-0.5475263098875681,-0.32943472266197205,-0.3728199005126953,-0.32953767975171405,-0.32758091886838275,0.21809158722559607,0.1747064093748728,0.21994539101918537,1
baseline,low,noisy,8,-0.899113655090332,-0.6608443657557169,-0.7145628333091736,-0.6572139461835226,-0.658189058303833,0.24189970890680945,0.18455082178115845,0.24092459678649902,1
baseline,mid,clean,2,-0.10355174541473389,-0.16624564925829569,-0.22004014253616333,-0.16464782257874808,-0.1643639157215754,-0.06109607716401419,-0.11648839712142944,-0.06081217030684152,0
baseline,mid,clean,4,-0.18927274147669473,-0.3341068625450134,-0.3569212853908539,-0.3290295700232188,-0.3300258318583171,-0.13975682854652408,-0.16764854391415915,-0.14075309038162234,0
baseline,mid,clean,8,-0.3616248468557994,-0.664819339911143,-0.6912393172581991,-0.6589501897493998,-0.658322791258494,-0.2973253428936004,-0.3296144704023997,-0.29669794440269465,0
baseline,mid,mid,2,-0.2742825746536255,-0.1673708955446879,-0.22732789814472198,-0.1640835553407669,-0.16447177032629648,0.11019901931285858,0.0469546765089035,0.10981080432732901,1
baseline,mid,mid,4,-0.3445044259230296,-0.3337067166964213,-0.3586256404717763,-0.33103976647059125,-0.33039402961730957,0.013464659452438354,-0.014121214548746708,0.01411039630572003,0
baseline,mid,mid,8,-0.5459361672401428,-0.6631966829299927,-0.689885675907135,-0.6581720113754272,-0.6592344641685486,-0.11223584413528442,-0.1439495086669922,-0.11329829692840576,0
baseline,mid,noisy,2,-0.43088165918986004,-0.1688586970170339,-0.2216670165459315,-0.16532321274280548,-0.1643716941277186,0.26555844644705456,0.20921464264392856,0.2665099650621414,1
baseline,mid,noisy,4,-0.6380033095677694,-0.3324290414651235,-0.35450929403305054,-0.33197734753290814,-0.32746289173762005,0.30602596203486127,0.28349401553471887,0.31054041783014935,1
baseline,mid,noisy,8,-0.8429877956708273,-0.6623809337615967,-0.6859080592791239,-0.6600329081217448,-0.6581990122795105,0.1829548875490825,0.15707973639170336,0.18478878339131677,1
baseline,high,clean,2,-0.09946271032094955,-0.16742510596911112,-0.2638834665218989,-0.16493172446886697,-0.16438055038452148,-0.06546901414791742,-0.16442075620094937,-0.06491784006357193,0
baseline,high,clean,4,-0.18278797964255014,-0.33526724576950073,-0.3971686859925588,-0.32957351207733154,-0.3307279447714488,-0.1467855324347814,-0.21438070635000864,-0.14793996512889865,0
baseline,high,clean,8,-0.35212041934331256,-0.6660545865694681,-0.7269888122876486,-0.6604411204655966,-0.6583425601323446,-0.308320701122284,-0.374868392944336,-0.30622214078903204,0
baseline,high,mid,2,-0.3430686891078949,-0.16860127945741019,-0.2748269985119502,-0.16450575987497965,-0.16459507743517557,0.17856292923291525,0.0682416905959447,0.17847361167271933,1
baseline,high,mid,4,-0.43250393867492676,-0.3359319567680359,-0.3991374472777049,-0.33160073558489483,-0.3302663763364156,0.10090320309003192,0.033366491397221865,0.10223756233851117,1
baseline,high,mid,8,-0.593602697054545,-0.6656760573387146,-0.7248179713884989,-0.6597008109092712,-0.659404436747233,-0.06609811385472619,-0.13121527433395386,-0.06580173969268799,0
baseline,high,noisy,2,-0.5270363688468933,-0.17012823124726614,-0.2639356404542923,-0.1656080981095632,-0.16441396375497183,0.3614282707373301,0.263100728392601,0.36262240509192145,1
baseline,high,noisy,4,-0.69988880554835,-0.3350147108236949,-0.3963128626346588,-0.3322838842868805,-0.3275671104590098,0.3676049212614695,0.30357594291369117,0.37232169508934015,1
baseline,high,noisy,8,-0.9207224448521932,-0.6635672251383463,-0.7197883526484171,-0.6614266236623129,-0.658221423625946,0.25929582118988037,0.20093409220377612,0.2625010212262472,1
good_shift,low,clean,2,-0.19734702507654825,-0.16473734378814697,-0.32299062609672546,-0.16469486554463705,-0.16472985843817392,0.032652159531911196,-0.12564360102017721,0.03261716663837433,0
good_shift,low,clean,4,-0.4138655463854472,-0.3321973482767741,-0.5146225094795227,-0.32909587025642395,-0.3321872353553772,0.08476967612902325,-0.1007569630940755,0.08167831103007,0
good_shift,low,clean,8,-0.9156406919161478,-0.660818080107371,-0.8786881566047668,-0.6589950720469157,-0.6585827469825745,0.2566456198692322,0.036952535311380985,0.25705794493357337,1
good_shift,low,mid,2,-0.5749555230140686,-0.16605584820111594,-0.32675159970919293,-0.16429024934768677,-0.1646216114362081,0.41066527366638184,0.24820392330487567,0.4103339115778605,1
good_shift,low,mid,4,-0.860157827536265,-0.33134474356969196,-0.525329053401947,-0.3311385711034139,-0.3307218949000041,0.5290192564328511,0.334828774134318,0.529435932636261,1
good_shift,low,mid,8,-1.235435167948405,-0.6606958111127218,-0.8810738325119019,-0.6584743062655131,-0.6596010128657023,0.576960861682892,0.35436133543650317,0.5758341550827027,1
good_shift,low,noisy,2,-0.7218341827392578,-0.1668446660041809,-0.3238767584164937,-0.1652937481800715,-0.16461427509784698,0.5565404345591863,0.3979574243227641,0.5572199076414108,1
good_shift,low,noisy,4,-1.0239398280779521,-0.32985344529151917,-0.5178387761116028,-0.33195992310841876,-0.32801318168640137,0.694086382786433,0.5061010519663494,0.6959266463915508,1
good_shift,low,noisy,8,-1.5638092756271362,-0.6610702077547709,-0.8672934571901957,-0.6604522864023844,-0.6588269670804342,0.9033569892247518,0.6965158184369405,0.904982308546702,1
good_shift,mid,clean,2,-0.2679469088713328,-0.16625391940275827,-0.44101553161938983,-0.16474182903766632,-0.16442497074604034,0.1032050798336665,-0.173068622748057,0.10352193812529248,0
good_shift,mid,clean,4,-0.4642513891061147,-0.3342088460922241,-0.6430529356002808,-0.32924481232961017,-0.33045316735903424,0.13500657677650452,-0.17880154649416607,0.13379822174708045,0
good_shift,mid,clean,8,-0.8903801242510477,-0.6649667421976725,-0.9458698034286499,-0.6594560345013937,-0.6585506399472555,0.23092408974965406,-0.05548967917760217,0.23182948430379224,0
good_shift,mid,mid,2,-0.7102748354276022,-0.16749770442644754,-0.44201305508613586,-0.16434081395467123,-0.16452127695083618,0.5459340214729309,0.2682617803414663,0.545753558476766,1
good_shift,mid,mid,4,-0.8857571482658386,-0.33396350344022113,-0.642183264096578,-0.33126723766326904,-0.3306104938189189,0.5544899106025696,0.24357388416926062,0.5551466544469197,1
good_shift,mid,mid,8,-1.235450267791748,-0.6631939808527628,-0.9407802621523539,-0.6588552196820577,-0.659461239973704,0.5765950481096903,0.29467000563939416,0.5759890278180441,1
good_shift,mid,noisy,2,-0.8149924278259277,-0.1689325819412867,-0.43539975086847943,-0.16537553568681082,-0.1644530047972997,0.6496168921391169,0.3795926769574483,0.650539423028628,1
good_shift,mid,noisy,4,-1.0473665396372478,-0.33256132404009503,-0.6298660635948181,-0.3320722778638204,-0.3275741736094157,0.7152942617734275,0.4175004760424297,0.719792366027832,1
good_shift,mid,noisy,8,-1.4173524777094524,-0.6624111930529276,-0.9307242433230082,-0.6607765158017477,-0.6583382288614908,0.7565759619077047,0.4866282343864442,0.7590142488479615,1
good_shift,high,clean,2,-0.39411412676175434,-0.16742052137851715,-0.3316029558579127,-0.16497045755386353,-0.1644249310096105,0.2291436692078908,0.06251117090384162,0.22968919575214383,1
good_shift,high,clean,4,-0.5962319175402323,-0.3353036642074585,-0.4901556173960368,-0.32967161138852435,-0.33087750275929767,0.26656030615170795,0.1060763001441955,0.26535441478093463,1
good_shift,high,clean,8,-0.9863714575767517,-0.6660755674044291,-0.8131147623062134,-0.6605125268300375,-0.6582962075869242,0.32585893074671424,0.17325669527053833,0.3280752499898275,1
good_shift,high,mid,2,-0.8379620711008707,-0.16865306595961252,-0.3331131140391032,-0.1646463672320048,-0.16460512578487396,0.673315703868866,0.5048489570617676,0.6733569453159968,1
good_shift,high,mid,4,-0.9440412720044454,-0.3359766701857249,-0.49358898401260376,-0.3317041794459025,-0.3303699890772502,0.612337092558543,0.45045228799184167,0.6136712829271953,1
good_shift,high,mid,8,-1.3004260063171387,-0.6656825542449951,-0.8044689893722534,-0.6598843137423197,-0.6594273050626119,0.640541692574819,0.49595701694488525,0.6409987012545267,1
good_shift,high,noisy,2,-0.9280753334363302,-0.17015542089939117,-0.3279140094916026,-0.16562387843926749,-0.1644428571065267,0.7624514549970627,0.6001613239447277,0.7636324763298035,1
good_shift,high,noisy,4,-1.102394700050354,-0.3350280225276947,-0.4794342517852783,-0.33233074347178143,-0.3276180624961853,0.7700639565785725,0.6229604482650757,0.7747766375541687,1
good_shift,high,noisy,8,-1.4355319738388062,-0.6635592778523763,-0.793329119682312,-0.6616511146227518,-0.6582483649253845,0.7738808592160543,0.6422028541564941,0.7772836089134216,1
rotated,low,clean,2,-0.10754017035166423,-0.1643505891164144,-0.19982260962327322,-0.1644166111946106,-0.16432264943917593,-0.05681041876475017,-0.092282439271609,-0.0567824790875117,0
rotated,low,clean,4,-0.1971030036608378,-0.3314697543780009,-0.3817752202351888,-0.3278319239616394,-0.33028729756673175,-0.1307289203008016,-0.18467221657435098,-0.13318429390589395,0
rotated,low,clean,8,-0.37541790803273517,-0.6590097943941752,-0.7204670707384745,-0.6562212705612183,-0.6583226521809896,-0.2808033625284831,-0.3450491627057393,-0.28290474414825445,0
rotated,low,mid,2,-0.1944411744674047,-0.16567347447077432,-0.20444939533869425,-0.16359463334083557,-0.1642339527606964,0.03084654112656912,-0.010008220871289553,0.03020722170670828,0
rotated,low,mid,4,-0.3108784556388855,-0.3306192954381307,-0.38219454884529114,-0.32979999979337055,-0.3302019039789836,-0.018921544154485048,-0.07131609320640564,-0.01932344834009808,0
rotated,low,mid,8,-0.497387558221817,-0.6603562037150065,-0.7209964593251547,-0.6565173665682474,-0.658906082312266,-0.15912980834643042,-0.22360890110333764,-0.16151852409044898,0
rotated,low,noisy,2,-0.47094716628392536,-0.16615444421768188,-0.2007173498471578,-0.16449588040510812,-0.16435069839159647,0.3064512858788172,0.2702298164367676,0.30659646789232886,1
rotated,low,noisy,4,-0.5486232042312622,-0.32937724391619366,-0.38145455718040466,-0.32955271005630493,-0.32756948471069336,0.21924596031506854,0.16716864705085754,0.22105371952056885,1
rotated,low,noisy,8,-0.9079071879386902,-0.6608012914657593,-0.7176918784777323,-0.6572105487187704,-0.6581845283508301,0.2506966392199198,0.19021530946095788,0.2497226595878601,1
rotated,mid,clean,2,-0.10831877340873082,-0.16612506409486136,-0.24172132213910422,-0.16466924051443735,-0.16437673072020212,-0.05635046710570653,-0.13340254873037338,-0.0560579573114713,0
rotated,mid,clean,4,-0.1935856988032659,-0.3339834411938985,-0.369286706050237,-0.3290623227755229,-0.33002283175786334,-0.135476623972257,-0.1757010072469711,-0.13643713295459745,0
rotated,mid,clean,8,-0.3649566372235616,-0.6645816365877787,-0.7019656101862589,-0.659013549486796,-0.6583243409792582,-0.29405691226323444,-0.33700897296269733,-0.2933677037556966,0
rotated,mid,mid,2,-0.2715724507967631,-0.1672481894493103,-0.24735968808333078,-0.16412371893723807,-0.1644631326198578,0.10744873185952505,0.02421276271343234,0.10710931817690533,1
rotated,mid,mid,4,-0.326137512922287,-0.3334699670473735,-0.3707211911678314,-0.3310781220595042,-0.3304040729999542,-0.004940609137217222,-0.044583678245544434,-0.004266560077667236,0
rotated,mid,mid,8,-0.5436334411303202,-0.6629561980565389,-0.69917893409729,-0.6582422256469727,-0.6592699885368347,-0.11460878451665246,-0.15554549296696984,-0.11563654740651452,0
rotated,mid,noisy,2,-0.39258260528246564,-0.1687394082546234,-0.24051870902379355,-0.16533962885538736,-0.16436120371023813,0.22724297642707827,0.1520638962586721,0.2282214015722275,1
rotated,mid,noisy,4,-0.6298681497573853,-0.3321930567423503,-0.36643746495246887,-0.33199923237164813,-0.3274546464284261,0.2978689173857371,0.2634306848049164,0.30241350332895917,1
rotated,mid,noisy,8,-0.8546494841575623,-0.6622614661852518,-0.6934352914492289,-0.6601034998893738,-0.6581891973813375,0.19454598426818848,0.16121419270833337,0.19646028677622474,1
rotated,high,clean,2,-0.10449654857317607,-0.16729228695233664,-0.2590937713781993,-0.16495442390441895,-0.16439341008663177,-0.060457875331242875,-0.1545972228050232,-0.059896861513455704,0
rotated,high,clean,4,-0.18740318218866983,-0.33513496319452923,-0.39131860931714374,-0.3296111623446147,-0.330718457698822,-0.14220798015594485,-0.2039154271284739,-0.1433152755101522,0
rotated,high,clean,8,-0.35516764720280963,-0.6659219066301981,-0.7251699169476827,-0.6605305870374044,-0.6583388050397238,-0.3053629398345948,-0.3700022697448731,-0.3031711578369141,0
rotated,high,mid,2,-0.34478195508321124,-0.16846424341201782,-0.2713906566301982,-0.16454888383547464,-0.16459304094314575,0.1802330712477366,0.07339129845301307,0.1801889141400655,1
rotated,high,mid,4,-0.4294487436612447,-0.3358008563518524,-0.39578046401341754,-0.33163804809252423,-0.33026790618896484,0.09781069556872046,0.03366827964782715,0.09918083747227985,1
rotated,high,mid,8,-0.5893052021662394,-0.6653902530670166,-0.7205673456192017,-0.6597879528999329,-0.6594018538792928,-0.07048275073369348,-0.13126214345296228,-0.07009665171305346,0
rotated,high,noisy,2,-0.5614480376243591,-0.16999246180057526,-0.26074665784835815,-0.16562786201635996,-0.1644087185462316,0.3958201756079992,0.300701379776001,0.3970393190781275,1
rotated,high,noisy,4,-0.714506983757019,-0.3347286880016327,-0.39230795701344806,-0.3323070506254832,-0.3275648355484009,0.38219993313153583,0.322199026743571,0.38694214820861816,1
rotated,high,noisy,8,-0.8950110077857971,-0.6634332537651062,-0.7161696553230286,-0.6615172823270162,-0.6582133173942566,0.2334937254587809,0.17884135246276855,0.23679769039154053,1
anchor_corrupt,low,clean,2,-0.10436764856179555,-0.16438153386116028,-0.195235475897789,-0.16439939538637796,-0.16437102854251862,-0.06001388529936473,-0.09086782733599345,-0.06000337998072307,0
anchor_corrupt,low,clean,4,-0.19335384170214334,-0.331535001595815,-0.3738718231519063,-0.32781825462977093,-0.33015844225883484,-0.1344644129276276,-0.18051798144976297,-0.1368046005566915,0
anchor_corrupt,low,clean,8,-0.3713521460692088,-0.6591456731160482,-0.7180725336074829,-0.6561373273531595,-0.6583366195360819,-0.28478518128395075,-0.3467203875382741,-0.2869844734668731,0
anchor_corrupt,low,mid,2,-0.17493745684623718,-0.1656956970691681,-0.197475994626681,-0.16357714434464773,-0.1642735501130422,0.011360312501589448,-0.022538537780443818,0.010663906733194978,0
anchor_corrupt,low,mid,4,-0.3040808141231537,-0.3306668698787689,-0.3741100033124288,-0.3298106590906779,-0.3289187451203664,-0.02572984496752423,-0.07002918918927509,-0.02483793099721271,0
anchor_corrupt,low,mid,8,-0.4990413884321849,-0.6604356567064921,-0.7192556858062744,-0.6565836866696676,-0.6581655542055765,-0.15754229823748273,-0.22021429737408954,-0.15912416577339167,0
anchor_corrupt,low,noisy,2,-0.4427785972754161,-0.1661825180053711,-0.19511958956718445,-0.16444700956344604,-0.16381960610548654,0.27833158771197003,0.24765900770823163,0.2789589911699295,1
anchor_corrupt,low,noisy,4,-0.594595710436503,-0.32943472266197205,-0.3728199005126953,-0.32953767975171405,-0.32875173290570575,0.265160987774531,0.22177580992380774,0.2658439775307973,1
anchor_corrupt,low,noisy,8,-0.8568158745765686,-0.6608443657557169,-0.7145628333091736,-0.6572139461835226,-0.6560800075531006,0.19960192839304602,0.14225304126739502,0.20073586702346802,1
anchor_corrupt,mid,clean,2,-0.10355174541473389,-0.16624564925829569,-0.22004014253616333,-0.16464782257874808,-0.16439248621463776,-0.06109607716401419,-0.11648839712142944,-0.06084074079990387,0
anchor_corrupt,mid,clean,4,-0.18927274147669473,-0.3341068625450134,-0.3569212853908539,-0.3290295700232188,-0.33052314321200055,-0.13975682854652408,-0.16764854391415915,-0.14125040173530581,0
anchor_corrupt,mid,clean,8,-0.3616248468557994,-0.664819339911143,-0.6912393172581991,-0.6589501897493998,-0.6589928070704142,-0.2973253428936004,-0.3296144704023997,-0.2973679602146148,0
anchor_corrupt,mid,mid,2,-0.2850716710090637,-0.1673708955446879,-0.22732789814472198,-0.1640835553407669,-0.1661431441704432,0.12098811566829681,0.057743772864341736,0.11892852683862051,1
anchor_corrupt,mid,mid,4,-0.37567780415217084,-0.3337067166964213,-0.3586256404717763,-0.33103976647059125,-0.3290914793809255,0.04463803768157959,0.017052163680394528,0.04658632477124536,1
anchor_corrupt,mid,mid,8,-0.5732624729474386,-0.6631966829299927,-0.689885675907135,-0.6581720113754272,-0.6582101186116537,-0.08490953842798865,-0.11662320295969641,-0.08494764566421509,0
anchor_corrupt,mid,noisy,2,-0.4686759610970815,-0.1688586970170339,-0.2216670165459315,-0.16532321274280548,-0.16390214363733926,0.303352748354276,0.24700894455115,0.3047738174597422,1
anchor_corrupt,mid,noisy,4,-0.583135704199473,-0.3324290414651235,-0.35450929403305054,-0.33197734753290814,-0.3290489713350932,0.2511583566665649,0.2286264101664225,0.2540867328643798,1
anchor_corrupt,mid,noisy,8,-0.9251073598861694,-0.6623809337615967,-0.6859080592791239,-0.6600329081217448,-0.6572917302449545,0.2650744517644247,0.23919930060704553,0.26781562964121497,1
anchor_corrupt,high,clean,2,-0.09946271032094955,-0.16742510596911112,-0.2638834665218989,-0.16493172446886697,-0.16443484524885812,-0.06546901414791742,-0.16442075620094937,-0.06497213492790857,0
anchor_corrupt,high,clean,4,-0.18278797964255014,-0.33526724576950073,-0.3971686859925588,-0.32957351207733154,-0.330555538336436,-0.1467855324347814,-0.21438070635000864,-0.14776755869388583,0
anchor_corrupt,high,clean,8,-0.35212041934331256,-0.6660545865694681,-0.7269888122876486,-0.6604411204655966,-0.6586700280507406,-0.308320701122284,-0.374868392944336,-0.30654960870742803,0
anchor_corrupt,high,mid,2,-0.36793750524520874,-0.16860127945741019,-0.2748269985119502,-0.16450575987497965,-0.16602967182795206,0.2034317453702291,0.09311050673325855,0.20190783341725668,1
anchor_corrupt,high,mid,4,-0.4067975878715515,-0.3359319567680359,-0.3991374472777049,-0.33160073558489483,-0.3293214241663615,0.07519685228665668,0.0076601405938466205,0.07747616370519,1
anchor_corrupt,high,mid,8,-0.5838444232940674,-0.6656760573387146,-0.7248179713884989,-0.6597008109092712,-0.6580681403477987,-0.07585638761520386,-0.14097354809443152,-0.07422371705373132,0
anchor_corrupt,high,noisy,2,-0.5286900401115417,-0.17012823124726614,-0.2639356404542923,-0.1656080981095632,-0.16390550136566162,0.3630819420019785,0.26475439965724945,0.3647845387458801,1
anchor_corrupt,high,noisy,4,-0.7363608082135519,-0.3350147108236949,-0.3963128626346588,-0.3322838842868805,-0.3290602962176005,0.4040769239266714,0.34004794557889306,0.40730051199595135,1
anchor_corrupt,high,noisy,8,-0.9983214139938354,-0.6635672251383463,-0.7197883526484171,-0.6614266236623129,-0.6570892930030823,0.3368947903315226,0.27853306134541833,0.3412321209907532,1
